City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
128,Kodiak,US,2021-03-07 21:13:38,57.79,-152.4072,42.8,49,1,11.5
129,Alta Floresta,BR,2021-03-07 21:13:39,-9.8756,-56.0861,79.97,91,86,0.89
130,Algeciras,ES,2021-03-07 21:13:41,36.1333,-5.4505,59.0,88,2,12.66
131,Pisco,PE,2021-03-07 21:13:43,-13.7,-76.2167,78.8,65,40,24.16
132,Cape Coast,GH,2021-03-07 21:13:44,5.1053,-1.2466,81.27,85,64,12.26
133,Richards Bay,ZA,2021-03-07 21:13:45,-28.783,32.0377,73.74,84,84,7.61
134,Fort-Shevchenko,KZ,2021-03-07 21:13:47,44.5086,50.263,28.31,87,0,1.36
135,Artvin,TR,2021-03-07 21:09:29,41.1667,41.8333,39.2,93,75,3.44
136,Jamestown,US,2021-03-07 21:12:54,42.097,-79.2353,30.0,90,1,8.68
137,Pevek,RU,2021-03-07 21:13:51,69.7008,170.3133,-20.38,85,100,12.86
138,Skjervoy,NO,2021-03-07 21:13:52,70.0311,20.9714,26.6,54,40,14.03
139,Arica,CL,2021-03-07 21:13:53,-18.475,-70.3042,73.4,68,0,13.8
140,Kamaishi,JP,2021-03-07 21:13:55,39.2667,141.8833,32.47,84,13,4.92
141,Saint George,US,2021-03-07 21:12:15,37.1041,-113.5841,75.0,16,1,4.61
142,Tawang,IN,2021-03-07 21:13:59,27.5833,91.8667,35.13,84,94,1.63
143,Samarai,PG,2021-03-07 21:14:00,-10.6167,150.6667,79.7,80,100,5.53
144,Bandarbeyla,SO,2021-03-07 21:14:02,9.4942,50.8122,76.24,78,0,12.75
145,Butaritari,KI,2021-03-07 21:12:59,3.0707,172.7902,80.56,80,0,10.47
146,Atherton,GB,2021-03-07 21:14:05,53.5237,-2.4935,39.99,77,1,1.97
147,Tuktoyaktuk,CA,2021-03-07 21:14:06,69.4541,-133.0374,-18.4,76,40,14.97
148,Akhmim,EG,2021-03-07 21:14:07,26.5622,31.745,69.8,28,0,13.8
149,Puerto Quijarro,BO,2021-03-07 21:14:09,-17.7833,-57.7667,90.61,43,50,3.58
150,Glotovka,RU,2021-03-07 21:14:11,53.9491,46.7042,22.21,97,100,17.31
151,Kralendijk,BQ,2021-03-07 21:14:12,12.15,-68.2667,82.4,74,40,20.71
152,Miramar,US,2021-03-07 21:12:38,25.9873,-80.2323,75.99,46,75,17.27
153,Maniitsoq,GL,2021-03-07 21:09:54,65.4167,-52.9,21.78,95,47,15.3
154,Mahebourg,MU,2021-03-07 21:14:17,-20.4081,57.7,77.0,88,40,5.75
155,Mercedes,AR,2021-03-07 21:14:19,-34.6515,-59.4307,88.0,46,64,1.01
156,Meulaboh,ID,2021-03-07 21:14:20,4.1363,96.1285,76.82,83,90,2.08
157,Praia Da Vitoria,PT,2021-03-07 21:14:21,38.7333,-27.0667,62.6,94,75,15.37
158,Hirara,JP,2021-03-07 21:14:23,24.8,125.2833,71.04,84,63,20.78
159,Sorland,NO,2021-03-07 21:14:24,67.667,12.6934,28.4,80,75,2.3
160,Lompoc,US,2021-03-07 21:14:26,34.6391,-120.4579,59.0,62,75,8.05
161,Makhachkala,RU,2021-03-07 21:14:27,42.9764,47.5024,37.4,65,75,11.18
162,Owando,CG,2021-03-07 21:14:28,-0.4819,15.8999,75.63,74,100,3.4
163,Eureka,US,2021-03-07 21:13:28,40.8021,-124.1637,54.0,71,1,16.11
164,Padang,ID,2021-03-07 21:13:30,-0.9492,100.3543,73.4,100,40,2.3
165,Hermanus,ZA,2021-03-07 21:12:28,-34.4187,19.2345,61.0,90,97,7.49
166,Firovo,RU,2021-03-07 21:14:33,57.4814,33.7021,17.37,94,78,12.24
167,Namatanai,PG,2021-03-07 21:14:34,-3.6667,152.4333,79.48,78,100,5.21
168,Winburg,ZA,2021-03-07 21:14:36,-28.518,27.0093,61.75,38,16,4.12
169,Port Hardy,CA,2021-03-07 21:14:37,50.6996,-127.4199,46.4,71,75,14.97
170,Saint-Francois,FR,2021-03-07 21:14:38,46.4154,3.9054,45.0,93,90,3.44
171,Inuvik,CA,2021-03-07 21:14:39,68.3499,-133.7218,-14.8,76,44,6.91
172,Faanui,PF,2021-03-07 21:14:41,-16.4833,-151.75,81.9,76,100,19.82
173,Svetlogorsk,BY,2021-03-07 21:14:43,52.6333,29.7333,30.42,98,100,9.62
174,Pedernales,DO,2021-03-07 21:14:45,18.0384,-71.744,83.62,58,6,4.38
175,Linxia,CN,2021-03-07 21:14:46,35.6003,103.2064,37.42,71,1,2.62
176,Gunjur,GM,2021-03-07 21:14:47,13.2019,-16.7339,73.4,60,0,12.66
177,Hlyboka,UA,2021-03-07 21:14:49,48.0897,25.9293,34.0,65,12,6.91
178,Broken Hill,AU,2021-03-07 21:14:50,-31.95,141.4333,71.6,33,75,6.91
179,Bluff,NZ,2021-03-07 21:14:51,-46.6,168.3333,55.0,63,91,15.01
180,Lebu,CL,2021-03-07 21:14:23,-37.6167,-73.65,65.1,81,56,13.67
181,Verkhoyansk,RU,2021-03-07 21:14:54,67.5447,133.385,-22.97,80,96,2.64
182,Aksu,CN,2021-03-07 21:14:55,41.1231,80.2644,39.54,67,45,2.21
183,San Rafael,AR,2021-03-07 21:14:56,-34.6177,-68.3301,94.71,18,23,9.62
184,Jiuquan,CN,2021-03-07 21:14:58,39.7432,98.5174,34.48,70,0,4.38
185,Egvekinot,RU,2021-03-07 21:15:01,66.3167,-179.1667,-0.62,96,100,16.75
186,Norman Wells,CA,2021-03-07 21:15:02,65.282,-126.8329,1.4,66,75,19.57
187,Svetlaya,RU,2021-03-07 21:15:04,46.5389,138.3297,12.51,86,0,7.85
188,Qaanaaq,GL,2021-03-07 21:15:05,77.484,-69.3632,-13.99,64,0,6.49
189,Mount Gambier,AU,2021-03-07 21:15:06,-37.8333,140.7667,57.2,100,75,8.05
190,Mackenzie,CA,2021-03-07 21:15:07,55.2999,-123.1698,32.0,64,90,4.61
191,Bridlington,GB,2021-03-07 21:15:09,54.0831,-0.1919,37.99,85,100,4.56
192,Codrington,AU,2021-03-07 21:15:11,-38.2667,141.9667,57.38,92,100,8.9
193,Chifeng,CN,2021-03-07 21:15:12,42.2683,118.9636,28.94,81,39,4.94
