City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Akyab,MM,67.48,scattered clouds,20.15,92.9,Hotel Memory
108,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
109,Kupang,ID,78.8,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
111,Atambua,ID,78.57,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
112,Samarai,PG,80.46,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Goundam,ML,81.73,broken clouds,16.4145,-3.6708,
115,Puerto Carreno,CO,88.79,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
116,Governador Valadares,BR,74.05,overcast clouds,-18.8511,-41.9494,Hotel Panorama
118,Sechura,PE,80.8,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
119,Calama,CL,69.8,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
120,Butaritari,KI,80.74,clear sky,3.0707,172.7902,Isles Sunset Lodge
123,Puerto Ayacucho,VE,81.95,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
124,San Patricio,US,66.2,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
125,Formosa,AR,82.4,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
126,Chuy,UY,67.95,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
127,Airai,TL,67.77,scattered clouds,-8.9266,125.4092,Juvinal Martin
129,Bartica,GY,78.8,few clouds,6.4,-58.6167,Relax Inn Hotel
130,Souillac,MU,77.0,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
131,General Roca,AR,82.4,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
132,Mbandaka,CD,73.18,overcast clouds,0.0487,18.2603,Guest House Epervier
134,Ahipara,NZ,68.27,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
136,Ouango,CF,72.07,overcast clouds,4.3133,22.5552,
137,Otane,NZ,66.99,broken clouds,-39.8833,176.6333,Ludlow Farmstay
142,Arlit,NE,80.29,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
143,Lazaro Cardenas,MX,80.38,clear sky,17.9583,-102.2,Hotel Quinta Antigua
145,Kahului,US,80.6,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
146,Fonseca,CO,80.6,broken clouds,10.8861,-72.8487,Hotel Winsor Fonseca
147,Kabo,CF,76.55,broken clouds,7.6994,18.629,
148,Ambulu,ID,77.72,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
150,Mount Isa,AU,84.2,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
151,Conroe,US,68.0,clear sky,30.3119,-95.456,Hampton Inn & Suites Conroe - I-45 North
154,Necochea,AR,68.0,moderate rain,-38.5473,-58.7368,dyd -mar Hotel
155,Sweetwater,US,73.4,few clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
156,Vangaindrano,MG,72.3,scattered clouds,-23.35,47.6,Hotel Fanilo
158,Prachuap Khiri Khan,TH,78.8,few clouds,12.2167,99.75,สมบัติยาย
161,Basoko,CD,71.22,overcast clouds,1.2391,23.616,Flat Hotel La Benediction
163,Atar,MR,65.26,clear sky,20.5169,-13.0499,Oumou Elghoura
164,Merauke,ID,81.05,scattered clouds,-8.4667,140.3333,PC
165,Ambovombe,MG,71.73,clear sky,-25.1667,46.0833,RELAHARA
166,Hirara,JP,69.8,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
169,Vilhena,BR,71.6,heavy intensity rain,-12.7406,-60.1458,Hotel Mirage
170,Ormara,PK,72.52,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
171,Puro,PH,79.95,overcast clouds,12.4841,123.3827,
172,Tocopilla,CL,71.69,scattered clouds,-22.092,-70.1979,Hotel Galvarino
179,Saint-Pierre,RE,77.0,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
180,Kavieng,PG,82.44,moderate rain,-2.5744,150.7967,Nusa Island Retreat
181,Omboue,GA,77.65,few clouds,-1.5746,9.2618,Hotel Olako
182,Dondo,MZ,70.32,scattered clouds,-19.6094,34.7431,Arco Iris
183,Vanimo,PG,82.81,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
185,Nsanje,MW,69.3,scattered clouds,-16.92,35.262,Nsanje Discovery Lodge
186,Bathsheba,BB,78.8,broken clouds,13.2167,-59.5167,Atlantis Hotel
190,Naze,JP,66.2,few clouds,28.3667,129.4833,奄美ポートタワーホテル
191,Port-Gentil,GA,80.6,few clouds,-0.7193,8.7815,Fengshui Residence
192,Bahia De Caraquez,EC,80.6,moderate rain,-0.6,-80.4167,La Piedra Hotel
195,San Juan,AR,89.85,clear sky,-31.5375,-68.5364,Hotel Provincial
197,Ulladulla,AU,75.99,clear sky,-35.35,150.4667,Sandpiper Motel
198,Hithadhoo,MV,82.96,clear sky,-0.6,73.0833,Scoop Guest House
199,Imbituba,BR,75.2,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
200,Gashua,NG,74.59,clear sky,12.871,11.0482,Forte Oil - Old Lorry Park
201,Newala,TZ,65.53,overcast clouds,-10.9431,39.2787,Mnyeu Newala
202,Quelimane,MZ,80.6,few clouds,-17.8786,36.8883,Hotel Flamingo
205,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
206,Guayape,HN,70.99,clear sky,14.7167,-86.8333,
209,Lumphat,KH,75.79,clear sky,13.4878,106.9816,Lumphat Homestay
214,Port Elizabeth,ZA,66.0,light rain,-33.918,25.5701,39 On Nile Guest House
223,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
227,Faanui,PF,82.35,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
231,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
232,Tessalit,ML,76.93,overcast clouds,20.1986,1.0114,
234,Road Town,VG,78.8,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
235,Karratha,AU,83.28,clear sky,-20.7377,116.8463,ibis Styles Karratha
236,Dingle,PH,79.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
237,Cidreira,BR,72.73,clear sky,-30.1811,-50.2056,Hotel Castelo
238,Alice Springs,AU,87.01,clear sky,-23.7,133.8833,Desert Palms Alice Springs
240,Cienfuegos,CU,77.0,broken clouds,22.1461,-80.4356,Casa Claumar B2BPay
241,Monte Patria,CL,69.96,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
245,Madang,PG,77.14,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
247,Cabo San Lucas,MX,78.8,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
249,Makakilo City,US,82.4,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
250,Flinders,AU,77.0,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
252,Paranavai,BR,73.4,few clouds,-23.0731,-52.4653,Hotel Pilonetto
255,Victoria Falls,ZW,65.57,broken clouds,-17.9235,25.843,Royal Livingstone Victoria Falls Zambia Hotel by Anantara
258,Zaraza,VE,79.07,overcast clouds,9.3503,-65.3245,Hotel Zaraza
259,Sola,VU,86.0,scattered clouds,-13.8833,167.55,Leumerus Bungalows
263,Isangel,VU,82.4,few clouds,-19.55,169.2667,Volcano Sea View Tree House
266,Yulara,AU,75.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
268,Sulangan,PH,80.78,broken clouds,11.1373,123.7228,Maia's Beach Resort
270,Korhogo,CI,80.44,overcast clouds,9.45,-5.6333,Hôtel Tchinbota
272,Hambantota,LK,77.85,scattered clouds,6.1241,81.1185,Bungalow 63
276,Luganville,VU,84.38,light rain,-15.5333,167.1667,The Espiritu Hotel
285,Bengkulu,ID,74.44,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
287,Dakar,SN,66.2,clear sky,14.6937,-17.4441,Redface Studios Meublés
288,Redlands,US,66.99,haze,34.0556,-117.1825,Dynasty Suites Redlands
292,Kiama,AU,75.99,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
301,Vallenar,CL,68.4,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
302,Weligama,LK,76.08,light rain,5.9667,80.4167,Weligama Bay Resort
304,Itupiranga,BR,75.76,broken clouds,-5.1347,-49.3267,Hotel Panorama
307,Abong Mbang,CM,69.96,broken clouds,3.9833,13.1833,Auberge Angle Sur
309,The Valley,AI,79.0,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
311,Mahibadhoo,MV,82.99,few clouds,3.7833,72.9667,Omadhoo Inn
314,Acajutla,SV,87.8,few clouds,13.5928,-89.8275,asi es
315,Rantepao,ID,70.59,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
316,Nuevo Casas Grandes,MX,73.99,scattered clouds,30.4167,-107.9167,Hotel Villa Colonial
317,San Antonio,US,69.8,broken clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
318,Hervey Bay,AU,84.0,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
319,Padang,ID,73.4,broken clouds,-0.9492,100.3543,Mercure Padang
326,Campoverde,PE,75.24,moderate rain,-8.4753,-74.8058,Hospedaje Coral's
327,Carnarvon,AU,77.0,clear sky,-24.8667,113.6333,Hospitality Carnarvon
329,Santiago Del Estero,AR,77.81,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
331,Wanning,CN,73.13,few clouds,18.8003,110.3967,Paradise Hotel
332,Alofi,NU,82.4,light rain,-19.0595,-169.9187,Taloa Heights
334,Poum,NC,78.67,few clouds,-20.2333,164.0167,Gîte kajeon
336,Payo,ID,71.26,broken clouds,-3.7508,103.6372,Mess keban agung
340,Tual,ID,82.92,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
343,Geraldton,AU,80.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
345,Itaituba,BR,84.2,few clouds,-4.2761,-55.9836,Hotel Campos
346,Micoud,LC,80.6,few clouds,13.8167,-60.9,Zamacà
347,Nishihara,JP,69.8,broken clouds,26.1842,127.7558,Minshuku Agaihama
350,Tautira,PF,80.6,broken clouds,-17.7333,-149.15,Pension Oaoa
351,Bodinayakkanur,IN,70.23,clear sky,10.0167,77.35,M.V. Lodge
356,Kavaratti,IN,81.52,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
364,Sawtell,AU,81.0,scattered clouds,-30.3833,153.1,Island Beach House Sawtell
366,Linhares,BR,75.11,moderate rain,-19.3911,-40.0722,Hotel Conceição
367,Sao Felix Do Xingu,BR,73.8,moderate rain,-6.6447,-51.995,Rio Xingu Camping
375,Sheopur,IN,68.41,clear sky,25.6667,76.7,Shri Ram Dharmshala
376,Ilhabela,BR,73.92,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
378,Cabudare,VE,74.95,few clouds,10.0289,-69.0894,Urbanización Ribera Santa Lucia
379,Bahia Blanca,AR,75.34,overcast clouds,-38.7196,-62.2724,Hotel Argos
380,Moroni,KM,79.52,broken clouds,-11.7022,43.2551,Hotel les Arcades
381,San Cristobal,VE,80.6,broken clouds,7.7669,-72.225,Posada Villaven C.A.
382,Hingoli,IN,73.58,clear sky,19.7167,77.15,Hotel RW International
384,Simbahan,PH,81.21,broken clouds,6.3032,120.5836,
390,Manjacaze,MZ,67.39,clear sky,-24.7117,33.8828,Hotel Gani
